timestamp,epoch_ms,station_id,station_name,temperature,humidity,dew_point,pressure,wind_speed,wind_direction,solar_radiation,precipitation,cumulative_rain,battery_voltage,ground_truth_anomaly,ground_truth_label
2026-09-05T13:25:50.454383+00:00,1788614750454,AWS-001,Coastal Marine AWS,54.24,50.4,24.26,1013.38,10.1,196.0,870.7,0.0,0.0,14.2,1,SPIKE
2026-09-05T13:26:50.454383+00:00,1788614810454,AWS-001,Coastal Marine AWS,53.65,51.1,23.95,1013.45,8.7,193.9,638.5,0.0,0.0,14.05,1,SPIKE
2026-09-05T13:27:50.454383+00:00,1788614870454,AWS-001,Coastal Marine AWS,54.11,49.9,23.98,1013.37,7.7,190.9,787.6,0.0,0.0,14.14,1,SPIKE
2026-09-05T13:28:50.454383+00:00,1788614930454,AWS-001,Coastal Marine AWS,36.17,49.2,23.8,1013.53,10.4,193.3,868.5,0.0,0.0,14.17,0,NORMAL
2026-09-05T13:29:50.454383+00:00,1788614990454,AWS-001,Coastal Marine AWS,36.21,49.9,24.07,1013.43,6.4,191.6,812.0,0.0,0.0,14.17,0,NORMAL
2026-09-05T13:30:50.454383+00:00,1788615050454,AWS-001,Coastal Marine AWS,35.95,50.0,23.86,1013.38,7.6,196.1,859.3,0.0,0.0,14.21,0,NORMAL
2026-09-05T13:31:50.454383+00:00,1788615110454,AWS-001,Coastal Marine AWS,35.79,50.7,23.95,1013.49,7.5,199.9,863.8,0.0,0.0,14.19,0,NORMAL
2026-09-05T13:32:50.454383+00:00,1788615170454,AWS-001,Coastal Marine AWS,35.98,51.2,24.29,1013.46,5.8,205.7,719.6,0.0,0.0,14.13,0,NORMAL
2026-09-05T13:33:50.454383+00:00,1788615230454,AWS-001,Coastal Marine AWS,36.01,50.2,23.99,1013.52,7.2,213.1,838.1,0.0,0.0,14.16,0,NORMAL
2026-09-05T13:34:50.454383+00:00,1788615290454,AWS-001,Coastal Marine AWS,36.25,50.0,24.14,1013.42,9.3,213.9,856.4,0.0,0.0,14.2,0,NORMAL
2026-09-05T13:35:50.454383+00:00,1788615350454,AWS-001,Coastal Marine AWS,36.02,50.2,23.99,1013.48,7.5,218.7,787.9,0.0,0.0,14.13,0,NORMAL
2026-09-05T13:36:50.454383+00:00,1788615410454,AWS-001,Coastal Marine AWS,35.79,50.0,23.72,1013.54,8.3,219.1,771.4,0.0,0.0,14.15,0,NORMAL
2026-09-05T13:37:50.454383+00:00,1788615470454,AWS-001,Coastal Marine AWS,36.01,49.8,23.85,1013.48,5.9,217.3,793.5,0.0,0.0,14.17,0,NORMAL
2026-09-05T13:38:50.454383+00:00,1788615530454,AWS-001,Coastal Marine AWS,35.85,51.6,24.3,1013.43,6.8,212.6,657.4,0.0,0.0,14.04,0,NORMAL
2026-09-05T13:39:50.454383+00:00,1788615590454,AWS-001,Coastal Marine AWS,35.85,51.0,24.1,1013.51,6.3,215.5,681.2,0.0,0.0,14.07,0,NORMAL
2026-09-05T13:40:50.454383+00:00,1788615650454,AWS-001,Coastal Marine AWS,36.08,50.0,23.98,1013.47,6.5,216.8,826.3,0.0,0.0,14.16,0,NORMAL
2026-09-05T13:41:50.454383+00:00,1788615710454,AWS-001,Coastal Marine AWS,36.3,49.2,23.91,1013.46,6.9,217.3,839.2,0.0,0.0,14.2,0,NORMAL
2026-09-05T13:42:50.454383+00:00,1788615770454,AWS-001,Coastal Marine AWS,35.89,51.4,24.27,1013.59,7.3,216.8,583.3,0.0,0.0,14.02,0,NORMAL
2026-09-05T13:43:50.454383+00:00,1788615830454,AWS-001,Coastal Marine AWS,36.12,49.6,23.89,1013.48,7.9,214.7,841.6,0.0,0.0,14.17,0,NORMAL
2026-09-05T13:44:50.454383+00:00,1788615890454,AWS-001,Coastal Marine AWS,35.8,51.1,24.09,1013.52,8.6,209.2,709.1,0.0,0.0,14.1,0,NORMAL
2026-09-05T13:45:50.454383+00:00,1788615950454,AWS-001,Coastal Marine AWS,35.95,50.6,24.06,1013.57,5.7,203.3,684.0,0.0,0.0,14.06,0,NORMAL
2026-09-05T13:46:50.454383+00:00,1788616010454,AWS-001,Coastal Marine AWS,35.66,49.6,23.47,1013.65,9.2,207.2,776.1,0.0,0.0,14.13,0,NORMAL
2026-09-05T13:47:50.454383+00:00,1788616070454,AWS-001,Coastal Marine AWS,35.91,50.3,23.93,1013.55,7.3,205.0,656.6,0.0,0.0,14.07,0,NORMAL
2026-09-05T13:48:50.454383+00:00,1788616130454,AWS-001,Coastal Marine AWS,36.04,50.1,23.98,1013.65,7.3,205.4,733.1,0.0,0.0,14.12,0,NORMAL
2026-09-05T13:49:50.454383+00:00,1788616190454,AWS-001,Coastal Marine AWS,36.15,49.3,23.81,1013.63,6.2,208.1,805.1,0.0,0.0,14.19,0,NORMAL
2026-09-05T13:50:50.454383+00:00,1788616250454,AWS-001,Coastal Marine AWS,36.21,49.9,24.07,1013.56,9.6,209.4,825.4,0.0,0.0,14.2,0,NORMAL
2026-09-05T13:51:50.454383+00:00,1788616310454,AWS-001,Coastal Marine AWS,36.13,49.6,23.89,1013.52,7.7,210.4,820.3,0.0,0.0,14.2,0,NORMAL
2026-09-05T13:52:50.454383+00:00,1788616370454,AWS-001,Coastal Marine AWS,35.58,52.8,24.43,1013.59,7.5,213.3,559.4,0.0,0.0,13.99,0,NORMAL
2026-09-05T13:53:50.454383+00:00,1788616430454,AWS-001,Coastal Marine AWS,36.23,50.3,24.22,1013.62,6.6,211.2,777.6,0.0,0.0,14.14,0,NORMAL
2026-09-05T13:54:50.454383+00:00,1788616490454,AWS-001,Coastal Marine AWS,36.03,50.3,24.04,1013.53,7.5,212.8,662.7,0.0,0.0,14.04,0,NORMAL
2026-09-05T13:55:50.454383+00:00,1788616550454,AWS-001,Coastal Marine AWS,35.79,52.0,24.37,1013.56,6.1,212.0,562.0,0.0,0.0,13.97,0,NORMAL
2026-09-05T13:56:50.454383+00:00,1788616610454,AWS-001,Coastal Marine AWS,35.97,48.7,23.44,1013.62,7.1,218.4,805.1,0.0,0.0,14.17,0,NORMAL
2026-09-05T13:57:50.454383+00:00,1788616670454,AWS-001,Coastal Marine AWS,36.14,50.3,24.14,1013.57,8.1,214.1,782.3,0.0,0.0,14.16,0,NORMAL
2026-09-05T13:58:50.454383+00:00,1788616730454,AWS-001,Coastal Marine AWS,36.03,50.0,23.94,1013.65,7.8,217.4,813.8,0.0,0.0,14.16,0,NORMAL
2026-09-05T13:59:50.454383+00:00,1788616790454,AWS-001,Coastal Marine AWS,35.65,51.4,24.05,1013.59,5.6,216.6,589.2,0.0,0.0,14.01,0,NORMAL
2026-09-05T14:00:50.454383+00:00,1788616850454,AWS-001,Coastal Marine AWS,35.85,51.9,24.4,1013.57,6.6,219.9,563.8,0.0,0.0,14.0,0,NORMAL
2026-09-05T14:01:50.454383+00:00,1788616910454,AWS-001,Coastal Marine AWS,35.96,50.0,23.87,1013.59,8.4,211.8,762.4,0.0,0.0,14.1,0,NORMAL
2026-09-05T14:02:50.454383+00:00,1788616970454,AWS-001,Coastal Marine AWS,36.02,49.3,23.69,1013.7,10.5,214.3,801.4,0.0,0.0,14.13,0,NORMAL
2026-09-05T14:03:50.454383+00:00,1788617030454,AWS-001,Coastal Marine AWS,36.02,50.5,24.09,1013.67,7.4,218.2,794.2,0.0,0.0,14.16,0,NORMAL
2026-09-05T14:04:50.454383+00:00,1788617090454,AWS-001,Coastal Marine AWS,36.07,48.9,23.6,1013.53,6.0,222.9,716.0,0.0,0.0,14.12,0,NORMAL
2026-09-05T14:05:50.454383+00:00,1788617150454,AWS-001,Coastal Marine AWS,35.97,50.9,24.18,1013.61,6.2,225.6,730.2,0.0,0.0,14.16,0,NORMAL
2026-09-05T14:06:50.454383+00:00,1788617210454,AWS-001,Coastal Marine AWS,36.22,50.0,24.11,1013.78,8.3,226.3,749.4,0.0,0.0,14.15,0,NORMAL
2026-09-05T14:07:50.454383+00:00,1788617270454,AWS-001,Coastal Marine AWS,35.89,50.7,24.04,1013.57,6.4,227.0,722.5,0.0,0.0,14.12,0,NORMAL
2026-09-05T14:08:50.454383+00:00,1788617330454,AWS-001,Coastal Marine AWS,35.76,51.8,24.28,1013.72,6.6,229.8,575.9,0.0,0.0,14.0,0,NORMAL
2026-09-05T14:09:50.454383+00:00,1788617390454,AWS-001,Coastal Marine AWS,36.14,51.3,24.47,1013.65,6.2,232.2,627.2,0.0,0.0,14.01,0,NORMAL
2026-09-05T14:10:50.454383+00:00,1788617450454,AWS-001,Coastal Marine AWS,36.08,50.2,24.05,1013.69,8.3,230.8,768.6,0.0,0.0,14.13,0,NORMAL
2026-09-05T14:11:50.454383+00:00,1788617510454,AWS-001,Coastal Marine AWS,35.8,52.0,24.38,1013.63,6.9,235.4,601.2,0.0,0.0,13.98,0,NORMAL
2026-09-05T14:12:50.454383+00:00,1788617570454,AWS-001,Coastal Marine AWS,35.79,50.5,23.88,1013.73,5.6,233.3,530.0,0.0,0.0,14.0,0,NORMAL
2026-09-05T14:13:50.454383+00:00,1788617630454,AWS-001,Coastal Marine AWS,35.92,50.4,23.97,1013.63,9.5,233.6,713.0,0.0,0.0,14.08,0,NORMAL
2026-09-05T14:14:50.454383+00:00,1788617690454,AWS-001,Coastal Marine AWS,35.82,50.5,23.91,1013.65,7.3,236.1,733.1,0.0,0.0,14.1,0,NORMAL
2026-09-05T14:15:50.454383+00:00,1788617750454,AWS-001,Coastal Marine AWS,36.18,51.0,24.41,1013.75,7.9,234.4,650.1,0.0,0.0,14.05,0,NORMAL
2026-09-05T14:16:50.454383+00:00,1788617810454,AWS-001,Coastal Marine AWS,36.16,50.6,24.26,1013.62,6.8,238.6,753.1,0.0,0.0,14.13,0,NORMAL
2026-09-05T14:17:50.454383+00:00,1788617870454,AWS-001,Coastal Marine AWS,35.96,51.4,24.33,1013.62,7.8,237.1,727.0,0.0,0.0,14.09,0,NORMAL
2026-09-05T14:18:50.454383+00:00,1788617930454,AWS-001,Coastal Marine AWS,35.82,51.0,24.08,1013.63,8.0,233.3,658.4,0.0,0.0,14.04,0,NORMAL
2026-09-05T14:19:50.454383+00:00,1788617990454,AWS-001,Coastal Marine AWS,35.75,52.1,24.37,1013.65,6.3,231.7,575.6,0.0,0.0,14.0,0,NORMAL
2026-09-05T14:20:50.454383+00:00,1788618050454,AWS-001,Coastal Marine AWS,35.82,49.2,23.48,1013.78,7.6,229.3,739.1,0.0,0.0,14.11,0,NORMAL
