datetime,temperature,humidity,pressure,wind_speed,is_anomaly_true
2012-10-01 12:00:00,18.38,82.0,1013.0,0.0,0
2012-10-01 13:00:00,18.38,82.0,1013.0,0.0,0
2012-10-01 14:00:00,18.38,81.0,1013.0,0.0,0
2012-10-01 15:00:00,18.39,81.0,1013.0,0.0,0
2012-10-01 16:00:00,18.4,81.0,1013.0,0.0,0
2012-10-01 17:00:00,18.41,80.0,1013.0,0.0,0
2012-10-01 18:00:00,18.42,80.0,1013.0,0.0,0
2012-10-01 19:00:00,18.43,80.0,1013.0,0.0,0
2012-10-01 20:00:00,18.44,79.0,1013.0,0.0,0
2012-10-01 21:00:00,18.45,79.0,1013.0,0.0,0
2012-10-01 22:00:00,18.46,78.0,1013.0,0.0,0
2012-10-01 23:00:00,18.47,78.0,1013.0,0.0,0
2012-10-02 00:00:00,18.48,78.0,1013.0,0.0,0
2012-10-02 01:00:00,18.49,77.0,1013.0,0.0,0
2012-10-02 02:00:00,18.5,77.0,1013.0,0.0,0
2012-10-02 03:00:00,18.51,77.0,1013.0,0.0,0
2012-10-02 04:00:00,18.52,76.0,1013.0,0.0,0
2012-10-02 05:00:00,18.53,76.0,1013.0,0.0,0
2012-10-02 06:00:00,18.54,75.0,1013.0,0.0,0
2012-10-02 07:00:00,18.55,75.0,1013.0,0.0,0
2012-10-02 08:00:00,18.56,75.0,1013.0,0.0,0
2012-10-02 09:00:00,18.57,74.0,1013.0,0.0,0
2012-10-02 10:00:00,18.58,74.0,1013.0,0.0,0
2012-10-02 11:00:00,18.59,74.0,1013.0,0.0,0
2012-10-02 12:00:00,18.6,73.0,1013.0,0.0,0
2012-10-02 13:00:00,18.61,73.0,1013.0,0.0,0
2012-10-02 14:00:00,18.62,73.0,1013.0,0.0,0
2012-10-02 15:00:00,21.76,73.0,1014.0,1.0,0
2012-10-02 16:00:00,23.15,22.0,1014.0,1.0,0
2012-10-02 17:00:00,26.98,15.0,1014.0,0.0,0
2012-10-02 18:00:00,30.83,57.0,1013.0,3.0,0
2012-10-02 19:00:00,30.75,57.0,1013.0,4.0,0
2012-10-02 20:00:00,31.07,35.0,1013.0,4.0,0
2012-10-02 21:00:00,29.66,69.0,1011.0,6.0,0
2012-10-02 22:00:00,30.23,65.0,1010.0,4.0,0
2012-10-02 23:00:00,28.7,61.0,1010.0,4.0,0
2012-10-03 00:00:00,28.51,61.0,1009.0,5.0,0
2012-10-03 01:00:00,26.54,65.0,1010.0,2.0,0
2012-10-03 02:00:00,24.93,57.0,1010.0,2.0,0
2012-10-03 03:00:00,24.59,61.0,1010.0,1.0,0
2012-10-03 04:00:00,22.7,64.0,1011.0,1.0,0
2012-10-03 05:00:00,22.24,73.0,1011.0,0.0,0
2012-10-03 06:00:00,21.13,69.0,1011.0,0.0,0
2012-10-03 07:00:00,20.87,73.0,1011.0,0.0,0
2012-10-03 08:00:00,20.59,52.0,1011.0,0.0,0
2012-10-03 09:00:00,20.08,78.0,1011.0,0.0,0
2012-10-03 10:00:00,19.6,77.0,1011.0,0.0,0
2012-10-03 11:00:00,19.43,59.0,1011.0,0.0,0
2012-10-03 12:00:00,18.61,68.0,1010.0,0.0,0
2012-10-03 13:00:00,19.02,64.0,1010.0,0.0,0
2012-10-03 14:00:00,18.88,60.0,1011.0,0.0,0
2012-10-03 15:00:00,22.46,54.0,1011.0,0.0,0
2012-10-03 16:00:00,26.05,49.0,1011.0,0.0,0
2012-10-03 17:00:00,29.63,44.0,1012.0,0.0,0
2012-10-03 18:00:00,31.3,45.0,1012.0,1.0,0
2012-10-03 19:00:00,32.16,51.0,1011.0,3.0,0
2012-10-03 20:00:00,32.73,51.0,1011.0,4.0,0
2012-10-03 21:00:00,32.01,45.0,1010.0,3.0,0
2012-10-03 22:00:00,30.48,53.0,1010.0,2.0,0
2012-10-03 23:00:00,28.95,61.0,1010.0,2.0,0
2012-10-04 00:00:00,29.02,51.0,1010.0,2.0,0
2012-10-04 01:00:00,27.13,54.0,1010.0,2.0,0
2012-10-04 02:00:00,24.62,65.0,1010.0,0.0,0
2012-10-04 03:00:00,23.48,73.0,1011.0,0.0,0
2012-10-04 04:00:00,21.84,73.0,1011.0,0.0,0
2012-10-04 05:00:00,21.26,78.0,1012.0,0.0,0
2012-10-04 06:00:00,20.83,78.0,1012.0,1.0,0
2012-10-04 07:00:00,20.36,88.0,1011.0,0.0,0
2012-10-04 08:00:00,19.25,83.0,1012.0,0.0,0
2012-10-04 09:00:00,19.11,88.0,1012.0,0.0,0
2012-10-04 10:00:00,19.02,83.0,1012.0,0.0,0
2012-10-04 11:00:00,18.19,88.0,1013.0,0.0,0
2012-10-04 12:00:00,17.84,88.0,1013.0,0.0,0
2012-10-04 13:00:00,17.69,88.0,1014.0,0.0,0
2012-10-04 14:00:00,17.57,94.0,1014.0,0.0,0
2012-10-04 15:00:00,20.53,94.0,1015.0,1.0,0
2012-10-04 16:00:00,22.66,94.0,1015.0,0.0,0
2012-10-04 17:00:00,25.04,83.0,1016.0,1.0,0
2012-10-04 18:00:00,25.94,69.0,1016.0,0.0,0
2012-10-04 19:00:00,27.62,61.0,1015.0,2.0,0
2012-10-04 20:00:00,28.25,61.0,1015.0,3.0,0
2012-10-04 21:00:00,28.76,54.0,1015.0,3.0,0
2012-10-04 22:00:00,28.0,61.0,1015.0,5.0,0
2012-10-04 23:00:00,26.33,65.0,1015.0,4.0,0
2012-10-05 00:00:00,25.26,73.0,1015.0,4.0,0
2012-10-05 01:00:00,23.53,73.0,1015.0,3.0,0
2012-10-05 02:00:00,22.03,78.0,1016.0,3.0,0
2012-10-05 03:00:00,21.07,83.0,1016.0,2.0,0
2012-10-05 04:00:00,20.1,78.0,1016.0,2.0,0
2012-10-05 05:00:00,19.35,83.0,1017.0,2.0,0
2012-10-05 06:00:00,19.01,83.0,1017.0,2.0,0
2012-10-05 07:00:00,18.6,85.0,1017.0,1.0,0
2012-10-05 08:00:00,18.18,88.0,1018.0,0.0,0
2012-10-05 09:00:00,18.06,85.0,1018.0,0.0,0
2012-10-05 10:00:00,17.94,82.0,1018.0,0.0,0
2012-10-05 11:00:00,18.0,82.0,1017.0,0.0,0
2012-10-05 12:00:00,17.96,77.0,1018.0,2.0,0
2012-10-05 13:00:00,17.78,82.0,1018.0,0.0,0
2012-10-05 14:00:00,17.86,77.0,1019.0,0.0,0
2012-10-05 15:00:00,18.76,73.0,1019.0,1.0,0
2012-10-05 16:00:00,20.32,68.0,1020.0,1.0,0
2012-10-05 17:00:00,21.78,64.0,1020.0,0.0,0
2012-10-05 18:00:00,23.03,53.0,1020.0,1.0,0
2012-10-05 19:00:00,23.63,53.0,1020.0,5.0,0
2012-10-05 20:00:00,23.95,57.0,1020.0,4.0,0
2012-10-05 21:00:00,24.29,53.0,1019.0,4.0,0
