station_id,timestamp,temperature,humidity,pressure,wind_speed
AWS_01,2026-09-12T08:00:00,28.3,65,1013.2,4.5
AWS_01,2026-09-12T08:05:00,28.5,64,1013.1,4.8
AWS_01,2026-09-12T08:10:00,28.7,63,1013.0,5.1
AWS_01,2026-09-12T08:15:00,29.0,62,1012.9,5.0
AWS_01,2026-09-12T08:20:00,29.2,61,1012.8,4.9
AWS_01,2026-09-12T08:25:00,29.4,60,1012.7,5.2
AWS_01,2026-09-12T08:30:00,29.6,59,1012.6,5.4
AWS_01,2026-09-12T08:35:00,29.8,58,1012.5,5.3
AWS_01,2026-09-12T08:40:00,30.0,57,1012.4,5.5
AWS_01,2026-09-12T08:45:00,30.2,56,1012.3,5.6
AWS_01,2026-09-12T08:50:00,30.5,55,1012.2,5.8
AWS_01,2026-09-12T08:55:00,42.8,30,1008.0,22.5
AWS_01,2026-09-12T09:00:00,31.0,54,1012.0,6.0
AWS_01,2026-09-12T09:05:00,31.2,53,1011.9,6.1
AWS_01,2026-09-12T09:10:00,31.5,52,1011.8,6.3
AWS_01,2026-09-12T09:15:00,31.8,51,1011.7,6.5
AWS_01,2026-09-12T09:20:00,32.0,50,1011.6,6.7
AWS_01,2026-09-12T09:25:00,32.2,49,1011.5,6.8
AWS_01,2026-09-12T09:30:00,32.5,48,1011.4,7.0
AWS_01,2026-09-12T09:35:00,32.8,47,1011.3,7.2
AWS_01,2026-09-12T09:40:00,33.0,46,1011.2,7.4
AWS_01,2026-09-12T09:45:00,33.2,45,1011.1,7.5
AWS_01,2026-09-12T09:50:00,33.5,44,1011.0,7.7
AWS_01,2026-09-12T09:55:00,45.0,25,1005.0,28.0
AWS_01,2026-09-12T10:00:00,33.8,43,1010.8,7.8
AWS_02,2026-09-12T08:00:00,22.0,72,1015.5,3.0
AWS_02,2026-09-12T08:05:00,22.1,71,1015.4,3.2
AWS_02,2026-09-12T08:10:00,22.3,70,1015.3,3.1
AWS_02,2026-09-12T08:15:00,22.5,69,1015.2,3.3
AWS_02,2026-09-12T08:20:00,22.7,68,1015.1,3.4
AWS_02,2026-09-12T08:25:00,22.9,67,1015.0,3.5
AWS_02,2026-09-12T08:30:00,23.1,66,1014.9,3.6
AWS_02,2026-09-12T08:35:00,23.3,65,1014.8,3.7
AWS_02,2026-09-12T08:40:00,23.5,64,1014.7,3.8
AWS_02,2026-09-12T08:45:00,23.7,63,1014.6,3.9
AWS_02,2026-09-12T08:50:00,23.9,62,1014.5,4.0
AWS_02,2026-09-12T08:55:00,24.1,61,1014.4,4.1
AWS_02,2026-09-12T09:00:00,24.3,60,1014.3,4.2
AWS_02,2026-09-12T09:05:00,38.5,28,1008.5,18.0
AWS_02,2026-09-12T09:10:00,24.5,59,1014.2,4.3
AWS_02,2026-09-12T09:15:00,24.7,58,1014.1,4.4
AWS_02,2026-09-12T09:20:00,24.9,57,1014.0,4.5
AWS_02,2026-09-12T09:25:00,25.1,56,1013.9,4.6
AWS_02,2026-09-12T09:30:00,25.3,55,1013.8,4.7
AWS_02,2026-09-12T09:35:00,25.5,54,1013.7,4.8
AWS_02,2026-09-12T09:40:00,25.7,53,1013.6,4.9
AWS_02,2026-09-12T09:45:00,25.9,52,1013.5,5.0
AWS_02,2026-09-12T09:50:00,26.1,51,1013.4,5.1
AWS_02,2026-09-12T09:55:00,41.0,22,1006.0,24.0
AWS_02,2026-09-12T10:00:00,26.3,50,1013.3,5.2
